Episode,Avg_Reward_100,Avg_Final_Score_100,Total_Timesteps
22700,1.52,41.90,654171
22800,1.56,44.23,656963
22900,1.53,41.56,659700
23000,1.33,38.19,662429
23100,1.60,42.75,665179
23200,1.62,43.87,667867
23300,1.50,42.83,670603
23400,1.56,43.40,673352
23500,1.64,44.67,676116
23600,1.43,43.07,678863
23700,1.51,41.84,681635
23800,1.62,42.67,684335
23900,1.65,44.83,687037
24000,1.33,41.96,689770
24100,1.67,41.32,692491
24200,1.56,42.00,695237
24300,1.68,43.97,697944
24400,1.65,44.19,700655
24500,1.56,42.53,703393
24600,1.47,40.74,706091
24700,1.52,42.71,708815
24800,1.42,40.31,711551
24900,1.53,41.07,714296
25000,1.54,43.95,717058
25100,1.38,41.82,719793
25200,1.66,43.53,722540
25300,1.51,41.81,725296
25400,1.46,41.57,728064
25500,1.77,45.72,730819
25600,1.66,43.01,733526
25700,1.63,44.37,736254
25800,1.58,41.47,738977
25900,1.56,45.70,741785
26000,1.45,40.76,744543
26100,1.49,42.50,747278
26200,1.65,43.07,750036
26300,1.55,43.14,752754
26400,1.46,41.38,755527
26500,1.66,44.82,758301
26600,1.36,41.19,760977
26700,1.47,43.29,763723
26800,1.68,43.19,766496
26900,1.61,44.52,769231
27000,1.67,45.52,771965
27100,1.44,42.17,774766
27200,1.56,44.67,777561
27300,1.46,43.09,780385
27400,1.33,40.45,783181
27500,1.72,45.42,785929
27600,1.53,42.69,788694
27700,1.61,43.88,791455
27800,1.71,44.24,794214
27900,1.43,41.49,797004
28000,1.63,43.05,799746
28100,1.53,44.89,802518
28200,1.64,42.80,805294
28300,1.47,43.16,808088
28400,1.40,40.34,810815
28500,1.41,42.78,813572
28600,1.54,42.07,816353
28700,1.64,43.65,819106
28800,1.62,46.16,821873
28900,1.59,46.79,824621
29000,1.38,41.54,827365
29100,1.58,43.06,830126
29200,1.48,41.12,832907
29300,1.51,41.35,835653
29400,1.38,41.41,838392
29500,1.58,43.95,841131
29600,1.61,42.83,843917
29700,1.67,45.21,846689
29800,1.54,41.64,849417
29900,1.57,45.17,852160
30000,1.44,39.87,854935
30100,1.55,41.87,857712
30200,1.34,41.65,860501
30300,1.56,42.59,863262
30400,1.71,45.74,866062
30500,1.54,43.26,868866
30600,1.46,40.60,871610
30700,1.46,40.39,874396
30800,1.57,42.55,877204
30900,1.41,39.90,880008
31000,1.64,42.95,882756
31100,1.43,43.27,885507
31200,1.63,43.39,888280
31300,1.35,40.51,891091
31400,1.70,43.37,893850
31500,1.47,41.55,896637
31600,1.48,41.51,899407
31700,1.50,42.09,902150
31800,1.53,42.01,904893
31900,1.53,42.72,907707
32000,1.75,45.02,910483
32100,1.68,44.17,913279
32200,1.55,43.69,916037
32300,1.65,42.98,918817
32400,1.69,45.95,921534
32500,1.38,42.19,924315
32600,1.57,44.55,927112
32700,1.42,39.36,929938
32800,1.66,44.01,932698
32900,1.62,42.49,935428
33000,1.71,44.52,938207
33100,1.63,44.58,940997
33200,1.57,43.87,943750
33300,1.40,41.02,946511
33400,1.34,40.96,949245
33500,1.58,42.53,952024
33600,1.60,43.43,954781
33700,1.43,42.81,957529
33800,1.41,43.31,960263
33900,1.53,44.43,963018
34000,1.57,43.89,965822
34100,1.48,42.13,968570
34200,1.58,43.58,971306
34300,1.66,42.45,974110
34400,1.48,40.34,976830
34500,1.44,42.82,979661
34600,1.60,43.94,982432
34700,1.41,42.18,985175
34800,1.44,40.52,987924
34900,1.63,44.57,990694
35000,1.50,42.46,993518
35100,1.58,41.31,996256
35200,1.53,40.24,999012
35300,1.52,42.77,1001757
35400,1.55,41.62,1004521
35500,1.67,44.22,1007275
35600,1.50,41.31,1009999
35700,1.58,42.57,1012780
35800,1.46,40.42,1015546
35900,1.61,43.68,1018357
36000,1.70,43.30,1021115
36100,1.54,42.60,1023859
36200,1.56,43.49,1026643
36300,1.47,43.82,1029465
36400,1.67,42.53,1032224
36500,1.54,43.53,1035036
36600,1.48,40.98,1037853
36700,1.60,42.93,1040629
36800,1.70,44.45,1043449
36900,1.68,43.53,1046264
37000,1.41,42.59,1049094
37100,1.47,44.31,1051950
37200,1.64,42.89,1054769
37300,1.57,41.26,1057537
37400,1.67,41.76,1060287
